"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp2.2",5,719.692715565365,734.941995601612,-354.846357782682,709.692715565365,NA,NA,NA
"modmanysp2",6,718.818099033233,737.11723507673,-353.409049516617,706.818099033233,2.87461653213154,1,0.0899864077876961
