"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp2.1",2,726.242845969595,732.342557984094,-361.121422984797,722.242845969595,NA,NA,NA
"modmanysp2",6,718.818099033233,737.11723507673,-353.409049516617,706.818099033233,15.4247469363614,4,0.0038966845015399
