Access_No_or_location,Species,Record_number,Unique_identified,Host,Host_code_number,Host_no_host,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Corolla _ength,Corolla_width,Standard_corolla_l,Glandular_hairs,Cauline_leaf_teeth,Cauline _leaf_length,Cauline_internode_length,Cauline_ratio,Inferred_flower_date,Flower_date_cal,Julian_days_to_flower,Height_end_season,Peat_no_peat
North Berwick,Euphrasia arctica,189,185,Plantago lanceolata,4,0,9,0,0,8,2,0,,,5,0,2,3,1,0.333333333,42628,42628,258,16,1
North Berwick,Euphrasia arctica,4,210,Trifolium repens,1,0,43,4,1,7,5,0,10,7.5,7.5,0,3,11,4,0.363636364,42545,42545,175,149,0
North Berwick,Euphrasia arctica,6,200,Trifolium repens,1,0,36,5,1,10,4,0,9,6,7,0,4,10,4,0.4,42547,42547,177,80,0
North Berwick,Euphrasia arctica,14,133,Trifolium repens,1,0,34,3,0,7,5,0,10,7,7.5,0,3,14.5,6,0.413793103,42549,42549,179,-,1
North Berwick,Euphrasia arctica,18,24,Trifolium repens,1,0,45,6,1,9,4,0,10.5,8,7,0,3,13,5,0.384615385,42551,42551,181,-,1
North Berwick,Euphrasia arctica,20,268,Trifolium repens,1,0,27,2,0,8,3,0,8,5,6,0,3,5,3,0.6,42552,42552,182,-,0
North Berwick,Euphrasia arctica,22,15,Trifolium repens,1,0,39,4,0,7,4,0,9.5,7,7,0,3,7,4.5,0.642857143,42548,42548,178,152,0
North Berwick,Euphrasia arctica,28,241,Trifolium repens,1,0,24,1,0,11,4,0,7.5,3,6,0,3,5.5,2,0.363636364,42558,42558,188,#N/A,#N/A
North Berwick,Euphrasia arctica,30,65,Trifolium repens,1,0,34,5,1,8,3,0,9.5,3,7,0,3,13,12,0.923076923,42557,42557,187,186,1
North Berwick,Euphrasia arctica,31,38,Trifolium repens,1,0,48,6,1,8,4,0,10.5,4,8,0,4,12,10,0.833333333,42558,42558,188,136,1
North Berwick,Euphrasia arctica,32,223,Trifolium repens,1,0,28,6,0,9,3,0,8,3,6,0,3,9,4.5,0.5,42558,42558,188,133,0
North Berwick,Euphrasia arctica,33,169,Trifolium repens,1,0,34,5,1,8,4,0,11.5,4,9,0,4,11,5,0.454545455,42557,42557,187,142,1
North Berwick,Euphrasia arctica,34,232,Trifolium repens,1,0,23,4,0,8,3,0,9,2,7,0,2,7,4,0.571428571,42558,42558,188,#N/A,#N/A
North Berwick,Euphrasia arctica,35,38,Trifolium repens,1,0,48,6,1,8,4,0,9,3,7,0,3,12,8,0.666666667,42556,42556,186,136,1
North Berwick,Euphrasia arctica,39,56,Trifolium repens,1,0,39,8,1,9,4,0,9,6,7,0,3,15,4,0.266666667,42561,42561,191,166,1
North Berwick,Euphrasia arctica,40,83,Trifolium repens,1,0,68,7,1,9,5,0,10.5,6,8,0,4,14,11,0.785714286,42559,42559,189,189,1
North Berwick,Euphrasia arctica,44,47,Trifolium repens,1,0,57,6,1,8,4,0,11,7,8.5,0,3,13,9,0.692307692,42560,42560,190,#N/A,#N/A
North Berwick,Euphrasia arctica,45,111,Trifolium repens,1,0,20,2,0,7,3,0,8,5.5,6,0,3,6,2,0.333333333,42562,42562,192,173,0
North Berwick,Euphrasia arctica,52,74,Trifolium repens,1,0,64,6,1,8,5,0,11,7.5,8.5,0,3,13,8,0.615384615,42559,42559,189,183,0
North Berwick,Euphrasia arctica,57,156,Trifolium repens,1,0,38,4,1,9,4,0,11.5,8,9,0,3,8,4.5,0.5625,42559,42559,189,141,0
North Berwick,Euphrasia arctica,61,142,Trifolium repens,1,0,50,7,1,10,4,0,10.5,6.5,8,0,3,12,6,0.5,42560,42560,190,112,1
North Berwick,Euphrasia arctica,64,101,Trifolium repens,1,0,57,7,1,10,5,0,10,8,7.5,0,4,15,7,0.466666667,42559,42559,189,151,1
North Berwick,Euphrasia arctica,68,178,Trifolium repens,1,0,47,5,0,10,4,0,9,5.5,6.5,0,3,11,7,0.636363636,42569,42569,199,174,1
North Berwick,Euphrasia arctica,70,147,Trifolium repens,1,0,10,0,0,8,2,0,7.5,5,7,0,2,4.5,1,0.222222222,42566,42566,196,16,0
North Berwick,Euphrasia arctica,71,20,Trifolium repens,1,0,37,6,0,9,4,0,9,6,8,0,3,9,4.5,0.5,42568,42568,198,168,0
North Berwick,Euphrasia arctica,73,187,Trifolium repens,1,0,38,6,0,9,4,0,11,8,8,0,3,12,4,0.333333333,42566,42566,196,#N/A,#N/A
North Berwick,Euphrasia arctica,88,250,Trifolium repens,1,0,52,5,0,10,4,0,10,7,8,0,5,8,7,0.875,42574,42574,204,201,1
North Berwick,Euphrasia arctica,125,92,Trifolium repens,1,0,25,2,0,10,3,0,,,6.5,0,3,6,3,0.5,42599,42599,229,77,1
