Access_No_or_location,Species,Record_number,Unique_identified,Host,Host_code_number,Host_no_host,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Corolla _ength,Corolla_width,Standard_corolla_l,Glandular_hairs,Cauline_leaf_teeth,Cauline _leaf_length,Cauline_internode_length,Cauline_ratio,Inferred_flower_date,Flower_date_cal,Julian_days_to_flower,Height_end_season,Peat_no_peat
North Berwick,Euphrasia arctica,86,299,Equisetum,6,0,14,0,0,9,2,0,0,,0,0,2,3,1,0.333333333,42570,42570,200,#N/A,#N/A
North Berwick,Euphrasia arctica,89,238,Equisetum,6,0,12,0,0,7,2,0,5.5,,5,0,3,3,1.5,0.5,42575,42575,205,17,0
North Berwick,Euphrasia arctica,100,18,Equisetum,6,0,14,0,0,9,3,0,,,6.5,0,3,4,1.5,0.375,42589,42589,219,51,0
North Berwick,Euphrasia arctica,101,121,Equisetum,6,0,14,1,0,9,3,0,,,6,0,3,3,1,0.333333333,42590,42590,220,29,0
North Berwick,Euphrasia arctica,102,144,Equisetum,6,0,17,0,0,9,3,0,,,6,0,2,4,1.5,0.375,42587,42587,217,43,0
North Berwick,Euphrasia arctica,110,108,Equisetum,6,0,13,1,0,11,3,0,,,6,0,3,3.5,1,0.285714286,42593,42593,223,29,0
North Berwick,Euphrasia arctica,113,153,Equisetum,6,0,15,0,0,8,2,0,,,6,0,2,3,1,0.333333333,42576,42576,206,#N/A,#N/A
North Berwick,Euphrasia arctica,122,x1,Equisetum,6,0,12,0,0,12,2,0,,,5,0,2,4,1,0.25,42600,42600,230,28,0
North Berwick,Euphrasia arctica,131,193,Equisetum,6,0,17,2,0,11,3,0,,,5.5,0,2,3,1.5,0.5,42600,42600,230,29,1
North Berwick,Euphrasia arctica,133,166,Equisetum,6,0,15,1,0,11,2,0,,,7,0,2,3,2,0.666666667,42604,42604,234,27,1
North Berwick,Euphrasia arctica,137,95,Equisetum,6,0,8,0,0,10,2,0,,,6,0,2,3,1,0.333333333,42603,42603,233,-,1
North Berwick,Euphrasia arctica,138,207,Equisetum,6,0,15,0,0,10,2,0,,,7,0,2,2,1,0.5,42604,42604,234,23,0
North Berwick,Euphrasia arctica,139,265,Equisetum,6,0,13,1,0,11,2,0,,,7.5,0,2,3,1.5,0.5,42602,42602,232,21,0
North Berwick,Euphrasia arctica,147,68,Equisetum,6,0,17,0,0,11,2,0,,,6,0,2,4,1,0.25,42611,42611,241,18,1
North Berwick,Euphrasia arctica,155,130,Equisetum,6,0,23,0,0,8,3,0,,,7,0,2,4,2.5,0.625,42614,42614,244,39,1
North Berwick,Euphrasia arctica,162,50,Equisetum,6,0,14,0,0,11,2,0,,,6,0,2,3,1.5,0.5,42610,42610,240,16,1
North Berwick,Euphrasia arctica,175,175,Equisetum,6,0,9,0,0,8,1,0,,,,0,2,1.5,0.5,0.333333333,42618,42618,248,10,1
North Berwick,Euphrasia arctica,178,139,Equisetum,6,0,35,0,0,11,2,0,,,4,0,2,3,5,1.666666667,42618,42618,248,26,1
North Berwick,Euphrasia arctica,16,216,Festuca,2,0,14,1,0,7,2,0,9,6,7,0,2,4.5,1,0.222222222,42554,42554,184,43,0
North Berwick,Euphrasia arctica,27,149,Festuca,2,0,23,2,0,9,3,0,8,3,6,0,3,7,3,0.428571429,42557,42557,187,#N/A,#N/A
North Berwick,Euphrasia arctica,37,252,Festuca,2,0,26,3,0,10,4,0,9,6,7,0,3,7,2,0.285714286,42563,42563,193,65,0
North Berwick,Euphrasia arctica,38,261,Festuca,2,0,18,2,0,9,4,0,8,5.5,6,0,3,6,2,0.333333333,42563,42563,193,88,0
North Berwick,Euphrasia arctica,41,17,Festuca,2,0,11,0,0,9,3,0,9.5,5.5,7,0,3,4,1.5,0.375,42562,42562,192,17,0
North Berwick,Euphrasia arctica,43,117,Festuca,2,0,21,1,0,9,3,0,8,5.5,6,0,3,5,2,0.4,42561,42561,191,53,0
