Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,159,53,Arabidopsis thaliana,3,17,0,0,13,2,0,,,6,0,3,3,2,29-Aug,42611,241,21,1,,13,241,0
North Berwick,Euphrasia arctica,161,35,Arabidopsis thaliana,3,11,0,0,10,2,0,,,4,0,2,2,1,29-Aug,42611,241,7,1,,10,241,0
North Berwick,Euphrasia arctica,162,50,Equisetum,6,14,0,0,11,2,0,,,6,0,2,3,1.5,28-Aug,42610,240,16,1,,11,240,0
North Berwick,Euphrasia arctica,164,107,Festuca,2,21,1,0,12,3,0,,,5.5,0,3,3.5,2,27-Aug,42609,239,37,1,,12,239,1
North Berwick,Euphrasia arctica,167,55,no host,9,10,0,0,9,1,0,,,5,0,1,1.5,0.5,08-Sep,42621,251,6,1,,9,251,0
North Berwick,Euphrasia arctica,168,138,liverwort,7,8,0,0,11,2,0,,,,0,2,3,1.5,09-Sep,42622,252,7,1,,11,252,0
North Berwick,Euphrasia arctica,170,52,Pinus sylvestris,8,12,0,0,9,1,0,,,,0,1,1.5,0.5,10-Sep,42623,253,11,1,,9,253,0
North Berwick,Euphrasia arctica,173,26,Festuca,2,36,0,0,9,2,0,,,4.5,0,2,4,4,05-Sep,42618,248,31,1,,9,248,0
North Berwick,Euphrasia arctica,175,175,Equisetum,6,9,0,0,8,1,0,,,,0,2,1.5,0.5,05-Sep,42618,248,10,1,4.5,8,248,0
North Berwick,Euphrasia arctica,178,139,Equisetum,6,35,0,0,11,2,0,,,4,0,2,3,5,05-Sep,42618,248,26,1,,11,248,0
North Berwick,Euphrasia arctica,179,189,Festuca,2,36,0,0,9,3,0,,,6,0,2,3.5,3,05-Sep,42618,248,33,1,3,9,248,0
North Berwick,Euphrasia arctica,180,126,Festuca,2,27,0,0,12,2,0,,,5,0,2,4,2,05-Sep,42618,248,21,1,,12,248,0
North Berwick,Euphrasia arctica,181,270,Festuca,2,15,0,0,10,1,0,,,5,0,1,5,2,06-Sep,42619,249,16,1,3,10,249,0
North Berwick,Euphrasia arctica,183,135,Festuca,2,12,0,0,10,3,0,,,7,0,3,4,1.5,15-Sep,42628,258,43,1,,10,258,0
North Berwick,Euphrasia arctica,184,163,Plantago lanceolata,4,15,0,0,11,3,0,,,6,0,3,5,1.5,15-Sep,42628,258,12,1,,11,258,0
North Berwick,Euphrasia arctica,189,185,Plantago lanceolata,4,9,0,0,8,2,0,,,5,0,2,3,1,15-Sep,42628,258,16,1,3.5,8,258,0
North Berwick,Euphrasia arctica,192,143,no host,9,6,0,0,10,1,0,,,4.5,0,1,1.5,0.5,23-Sep,42636,266,5,1,,10,266,0
North Berwick,Euphrasia arctica,193,87,liverwort,7,7,0,0,9,1,0,,,4.5,0,1,1.5,0.5,25-Sep,42638,268,3,1,,9,268,0
North Berwick,Euphrasia arctica,2,220,Equisetum,6,13,0,0,7,2,0,10.5,3.5,8,0,2,4,1.5,27-Jun,42548,178,,#N/A,7,7,178,0
North Berwick,Euphrasia arctica,15,226,Arabidopsis thaliana,3,20,2,0,9,4,0,8,5.5,6,0,4,6,3,02-Jul,42553,183,,#N/A,12,9,183,2
North Berwick,Euphrasia arctica,27,149,Festuca,2,23,2,0,9,3,0,8,3,6,0,3,7,3,06-Jul,42557,187,,#N/A,,9,187,2
North Berwick,Euphrasia arctica,28,241,Trifolium repens,1,24,1,0,11,4,0,7.5,3,6,0,3,5.5,2,07-Jul,42558,188,,#N/A,11,11,188,1
North Berwick,Euphrasia arctica,34,232,Trifolium repens,1,23,4,0,8,3,0,9,2,7,0,2,7,4,07-Jul,42558,188,,#N/A,7,8,188,4
North Berwick,Euphrasia arctica,44,47,Trifolium repens,1,57,6,1,8,4,0,11,7,8.5,0,3,13,9,09-Jul,42560,190,,#N/A,,8,190,6
North Berwick,Euphrasia arctica,66,98,Arabidopsis thaliana,3,8,0,0,8,3,0,6.5,4.5,5.5,0,3,5,2,15-Jul,42566,196,,#N/A,,8,196,0
North Berwick,Euphrasia arctica,67,198,Plantago lanceolata,4,14,0,0,11,3,0,8,5.5,6,0,3,4,1.5,16-Jul,42567,197,,#N/A,9,11,197,0
North Berwick,Euphrasia arctica,73,187,Trifolium repens,1,38,6,0,9,4,0,11,8,8,0,3,12,4,15-Jul,42566,196,,#N/A,6.5,9,196,6
North Berwick,Euphrasia arctica,77,153,Equisetum,6,10,0,0,8,2,0,7.5,4,7,0,2,2,0.5,18-Jul,42569,199,,#N/A,,8,199,0
North Berwick,Euphrasia arctica,86,299,Equisetum,6,14,0,0,9,2,0,0,,0,0,2,3,1,19-Jul,42570,200,,#N/A,,9,200,0
North Berwick,Euphrasia arctica,113,153,Equisetum,6,15,0,0,8,2,0,,,6,0,2,3,1,25-Jul,42576,206,,#N/A,,8,206,0
North Berwick,Euphrasia arctica,157,254,Pinus sylvestris,8,7,0,0,11,2,0,,,5,0,2,1.5,0.5,01-Sep,42614,244,,#N/A,4,11,244,0
North Berwick,Euphrasia arctica,182,296,no host,9,18,0,0,7,2,0,,,,0,2,2.5,1,07-Sep,42620,250,,#N/A,,7,250,0
