"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.29345260943077,0.0957826284184664,23.9443482320287,1.05818510163372e-126
"2","HostArabidopsis thaliana",-0.115570994937686,0.114370284129783,-1.01049845086107,0.312256541252868
"3","HostEquisetum arvense",-0.0655910626326638,0.116123454654483,-0.564839057086488,0.572183238646237
"4","HostFestuca rubra",-0.0337076751132195,0.111988013956126,-0.300993596747105,0.763419377305655
"5","HostHolcus lanatus",-0.00867214107023387,0.123135437025587,-0.0704276630652787,0.943853273967148
"6","HostMarchantia polymorpha",-0.0247690681124087,0.143765659215755,-0.172287792839574,0.863211280759658
"7","HostPinus sylvestris",0.0510966826623052,0.126584465772499,0.403656818002753,0.686465097907759
"8","HostPlantago lanceolata",-0.0714480030960664,0.112564716467637,-0.63472822868619,0.525605679571033
"9","HostTrifolium repens",-0.133968360077401,0.115964719541438,-1.15525101606036,0.247987648797967
