"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,0.507865582124927,0.241843695680759,2.09997445124774,0.340676964424471
"2","Equisetum arvense - No host",0,0.21203445409988,0.254102262999158,0.834445359113477,0.980250445573352
"3","Festuca rubra - No host",0,0.396722445055697,0.242862999648169,1.63352361467338,0.649088239439167
"4","Holcus lanatus - No host",0,0.257829109289658,0.267260770770922,0.964709891937907,0.959248142878748
"5","Plantago lanceolata - No host",0,0.419195300907478,0.242342566581535,1.72976339576086,0.583424505921729
"6","Trifolium repens - No host",0,0.711496319215554,0.239045221838102,2.97640887253303,0.0431138101352729
"7","Equisetum arvense - Arabidopsis thaliana",0,-0.295831128025047,0.166789435599303,-1.77368025116264,0.55336978660503
"8","Festuca rubra - Arabidopsis thaliana",0,-0.11114313706923,0.149107988935359,-0.745386869360917,0.989034445774082
"9","Holcus lanatus - Arabidopsis thaliana",0,-0.250036472835269,0.18622318695401,-1.34267100099097,0.824285971913783
"10","Plantago lanceolata - Arabidopsis thaliana",0,-0.0886702812174486,0.148258812026695,-0.598077645472319,0.996677996321748
"11","Trifolium repens - Arabidopsis thaliana",0,0.203630737090627,0.142805370521798,1.4259319264155,0.779288392109212
"12","Festuca rubra - Equisetum arvense",0,0.184687990955818,0.168264016608165,1.09760835785763,0.925284048188252
"13","Holcus lanatus - Equisetum arvense",0,0.0457946551897785,0.201887746730885,0.226832266600223,0.999987926677152
"14","Plantago lanceolata - Equisetum arvense",0,0.207160846807599,0.167511976480287,1.23669274973887,0.874097933226505
"15","Trifolium repens - Equisetum arvense",0,0.499461865115674,0.162705134432303,3.06973634764727,0.0328357638631955
"16","Holcus lanatus - Festuca rubra",0,-0.138893335766039,0.187545031437484,-0.74058659246506,0.989403431852729
"17","Plantago lanceolata - Festuca rubra",0,0.0224728558517811,0.149915772356165,0.149903212307714,0.999998974859112
"18","Trifolium repens - Festuca rubra",0,0.314773874159857,0.144524867436185,2.17799109415441,0.296374301229709
"19","Plantago lanceolata - Holcus lanatus",0,0.16136619161782,0.186870601743845,0.863518338957431,0.976504111619797
"20","Trifolium repens - Holcus lanatus",0,0.453667209925896,0.182574150148393,2.4848381304646,0.15639535954641
"21","Trifolium repens - Plantago lanceolata",0,0.292301018308076,0.143648600016381,2.03483374202563,0.380058646388717
