"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-18.3025849924032,2060.06904034444,-0.00888445223629159,0.99292089926166
"2","HostArabidopsis thaliana",19.0461630265901,2060.06904602639,0.00924540032448314,0.992633305154315
"3","HostEquisetum arvense",17.2809337448713,2060.06907885544,0.00838852149291639,0.993316045564369
"4","HostFestuca rubra",18.1266943259395,2060.06905367516,0.00879907122220078,0.992988928783881
"5","HostHolcus lanatus",18.1084289779623,2060.0690651015,0.00879020479688142,0.992995993339589
"6","HostMarchantia polymorpha",-1.0059793578684e-07,3070.9695813629,-3.2757711570101e-11,0.999999999973898
"7","HostPinus sylvestris",-1.00589853354664e-07,2752.88303137235,-3.65398210560799e-11,0.999999999970885
"8","HostPlantago lanceolata",17.3535044377061,2060.06906922768,0.00842374884265986,0.99328797716005
"9","HostTrifolium repens",19.8587783903185,2060.06904305224,0.00963986059462129,0.992319010511368
