"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Host",6,41.4160953152893,6.90268255254822,11.3780066190269,1.52925116750203e-10
"Residuals",157,95.2470144408083,0.606668881788588,NA,NA
