"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.29345260943078,0.0957826284184663,23.9443482320289,1.05818510163038e-126
"2","HostArabidopsis thaliana",-0.115570994937681,0.114370284129783,-1.01049845086103,0.312256541252885
"3","HostEquisetum arvense",-0.0655910626326639,0.116123454654483,-0.564839057086491,0.572183238646235
"4","HostFestuca rubra",-0.0337076751132197,0.111988013956126,-0.300993596747107,0.763419377305654
"5","HostHolcus lanatus",-0.00867214107023431,0.123135437025586,-0.0704276630652825,0.943853273967145
"6","HostPlantago lanceolata",-0.0714480030960671,0.112564716467637,-0.634728228686197,0.525605679571028
"7","HostTrifolium repens",-0.133968360077401,0.115964719541438,-1.15525101606036,0.247987648797966
