"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.353463203454546,0.0435832866298541,8.11006307203155,6.94095515672054e-14
"2","HostArabidopsis thaliana",0.102981354821315,0.0511859742839102,2.01190572734075,0.0456885986001505
"3","HostEquisetum arvense",0.0416591510037872,0.0526318188658651,0.791520260965285,0.429659617260513
"4","HostFestuca rubra",0.0734618428357759,0.0507298730740292,1.44809829759626,0.149291388685345
"5","HostHolcus lanatus",0.0773275744278062,0.0559338266887918,1.38248317709508,0.168499093098282
"6","HostMarchantia polymorpha",0.0708754208787869,0.0649701277248078,1.09089243565892,0.276746681711375
"7","HostPinus sylvestris",0.0157544834740252,0.0582406165566,0.270506811319803,0.787073562209297
"8","HostPlantago lanceolata",0.0167758764164215,0.0507298730740294,0.330690289564507,0.741254695044719
"9","HostTrifolium repens",0.180132417249157,0.0517046846475182,3.48387033935432,0.000617625594970021
