"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","Host","Arabidopsis thaliana-No host",0.489823160831667,0.0888083880133574,0.890837933649977,0.00644594472128013
"2","Host","Equisetum arvense-No host",0.304224751137599,-0.105517379148432,0.713966881423631,0.29244461499656
"3","Host","Festuca rubra-No host",0.529022567315111,0.131581103896914,0.926464030733309,0.00200696763617547
"4","Host","Holcus lanatus-No host",0.331829354101366,-0.1063823067347,0.770041014937433,0.269719668115686
"5","Host","Plantago lanceolata-No host",0.245545060549954,-0.151896402868244,0.642986523968151,0.520249747642755
"6","Host","Trifolium repens-No host",1.2411800611156,0.836101469613941,1.64625865261727,1.03028696685215e-13
"7","Host","Equisetum arvense-Arabidopsis thaliana",-0.185598409694068,-0.494666091153972,0.123469271765837,0.554897353736156
"8","Host","Festuca rubra-Arabidopsis thaliana",0.0391994064834442,-0.253365005630648,0.331763818597536,0.999674101194232
"9","Host","Holcus lanatus-Arabidopsis thaliana",-0.157993806730301,-0.503918188762515,0.187930575301914,0.820276781326874
"10","Host","Plantago lanceolata-Arabidopsis thaliana",-0.244278100281713,-0.536842512395805,0.0482863118323786,0.168820528770521
"11","Host","Trifolium repens-Arabidopsis thaliana",0.751356900283938,0.448499039754221,1.05421476081366,1.36081479418237e-10
"12","Host","Festuca rubra-Equisetum arvense",0.224797816177512,-0.079619168480833,0.529214800835857,0.298832139580035
"13","Host","Holcus lanatus-Equisetum arvense",0.0276046029637671,-0.328400233235384,0.383609439162918,0.999986865125437
"14","Host","Plantago lanceolata-Equisetum arvense",-0.0586796905876454,-0.36309667524599,0.245737294070699,0.997416175773948
"15","Host","Trifolium repens-Equisetum arvense",0.936955309978006,0.622632786131157,1.25127783382485,1.20792265079217e-13
"16","Host","Holcus lanatus-Festuca rubra",-0.197193213213745,-0.538968792958477,0.144582366530987,0.602081985343242
"17","Host","Plantago lanceolata-Festuca rubra",-0.283477506765157,-0.571124519718781,0.00416950618846601,0.0562733901078031
"18","Host","Trifolium repens-Festuca rubra",0.712157493800494,0.414047191210806,1.01026779639018,6.32127794553128e-10
"19","Host","Plantago lanceolata-Holcus lanatus",-0.0862842935514125,-0.428059873296144,0.255491286193319,0.988802329668231
"20","Host","Trifolium repens-Holcus lanatus",0.909350707014239,0.558723418631231,1.25997799539725,2.0087265184543e-11
"21","Host","Trifolium repens-Plantago lanceolata",0.995635000565651,0.697524697975963,1.29374530315534,9.69224700497762e-14
