"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.489763831119,0.0203194959523913,270.172244625632,0
"2","HostArabidopsis thaliana",-0.177577566645507,0.0241437574690312,-7.35500954535693,1.90913474230348e-13
"3","HostEquisetum arvense",-0.111896185812945,0.024445617862841,-4.57735150900134,4.7089982490673e-06
"4","HostFestuca rubra",-0.112098787457095,0.0237037719548396,-4.72915397898131,2.25457349224274e-06
"5","HostHolcus lanatus",-0.0632602141536852,0.0259155190543896,-2.4410166750247,0.0146459784814739
"6","HostPlantago lanceolata",-0.136988827163047,0.0237828431755466,-5.75998530335088,8.4121260160127e-09
"7","HostTrifolium repens",-0.243714893116712,0.0246577344250981,-9.88391264643703,4.88860049642247e-23
