"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.25000000000001,0.250496278223365,20.9583952194237,2.37031929733561e-49
"2","HostArabidopsis thaliana",1.06481481481481,0.29323800597107,3.6312305810723,0.000371362788080884
"3","HostEquisetum arvense",0.945652173913041,0.300050482587586,3.15164356930171,0.00191379833539651
"4","HostFestuca rubra",1.04032258064516,0.288079503002438,3.61123429401487,0.000399013755564185
"5","HostHolcus lanatus",1.05,0.323389304615345,3.24686062592244,0.00140136803341389
"6","HostMarchantia polymorpha",0.249999999999999,0.433872280989777,0.576206434367467,0.565224524325761
"7","HostPinus sylvestris",0.48076923076923,0.333191197626647,1.44292296493364,0.15085034197982
"8","HostPlantago lanceolata",0.879032258064515,0.288079503002437,3.05135300812109,0.00263732956981216
"9","HostTrifolium repens",2.10185185185185,0.293238005971071,7.16773340785575,2.11770492303226e-11
