"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","Host","Arabidopsis thaliana-No host",1.06481481481482,0.143611369313697,1.98601826031594,0.0109124975762973
"2","Host","Equisetum arvense-No host",0.945652173913044,0.0030474202467452,1.88825692757934,0.0485759036198735
"3","Host","Festuca rubra-No host",1.04032258064516,0.135324506247275,1.94532065504304,0.0116692703276927
"4","Host","Holcus lanatus-No host",1.05,0.0340766354165709,2.06592336458343,0.0368368737019367
"5","Host","Marchantia polymorpha-No host",0.250000000000003,-1.11300422188331,1.61300422188331,0.999696937195462
"6","Host","Pinus sylvestris-No host",0.480769230769229,-0.565946655351587,1.52748511689004,0.8794418073944
"7","Host","Plantago lanceolata-No host",0.879032258064516,-0.0259658163333687,1.7840303324624,0.0642758792110398
"8","Host","Trifolium repens-No host",2.10185185185185,1.18064840635073,3.02305529735297,7.60934648624811e-10
"9","Host","Equisetum arvense-Arabidopsis thaliana",-0.119162640901773,-0.825278191211791,0.586952909408246,0.999837623739297
"10","Host","Festuca rubra-Arabidopsis thaliana",-0.0244922341696565,-0.679562431491437,0.630577963152124,0.999999998819303
"11","Host","Holcus lanatus-Arabidopsis thaliana",-0.0148148148148168,-0.816185971933559,0.786556342303925,0.999999999995819
"12","Host","Marchantia polymorpha-Arabidopsis thaliana",-0.814814814814814,-2.02637412315553,0.396744493525906,0.468135162823809
"13","Host","Pinus sylvestris-Arabidopsis thaliana",-0.584045584045588,-1.42411081663946,0.256019648548288,0.420722912247176
"14","Host","Plantago lanceolata-Arabidopsis thaliana",-0.185782556750301,-0.840852754072081,0.46928764057148,0.993205913015187
"15","Host","Trifolium repens-Arabidopsis thaliana",1.03703703703703,0.359754793981415,1.71431928009265,0.000112083859546419
"16","Host","Festuca rubra-Equisetum arvense",0.0946704067321162,-0.590168915335743,0.779509728799976,0.999964434891643
"17","Host","Holcus lanatus-Equisetum arvense",0.104347826086956,-0.721535740218247,0.930231392392159,0.999982222247978
"18","Host","Marchantia polymorpha-Equisetum arvense",-0.695652173913041,-1.92356254981928,0.532258201993202,0.695420743085333
"19","Host","Pinus sylvestris-Equisetum arvense",-0.464882943143815,-1.32836283789769,0.398596951610065,0.751084811854845
"20","Host","Plantago lanceolata-Equisetum arvense",-0.0666199158485279,-0.751459237916388,0.618219406219332,0.999997682589094
"21","Host","Trifolium repens-Equisetum arvense",1.15619967793881,0.450084127628789,1.86231522824883,2.52580279674897e-05
"22","Host","Holcus lanatus-Festuca rubra",0.00967741935483968,-0.773011189302892,0.792366028012572,1
"23","Host","Marchantia polymorpha-Festuca rubra",-0.790322580645157,-1.98960640205183,0.408961240761514,0.497076070620482
"24","Host","Pinus sylvestris-Festuca rubra",-0.559553349875931,-1.38181566913527,0.262708969383408,0.451308117678019
"25","Host","Plantago lanceolata-Festuca rubra",-0.161290322580644,-0.793368395353257,0.470787750191969,0.996703882947066
"26","Host","Trifolium repens-Festuca rubra",1.06152927120669,0.406459073884911,1.71659946852847,3.21883121393585e-05
"27","Host","Marchantia polymorpha-Holcus lanatus",-0.799999999999997,-2.08505270410611,0.485052704106112,0.576221853236552
"28","Host","Pinus sylvestris-Holcus lanatus",-0.569230769230771,-1.51220165410282,0.373740115641282,0.61717037899196
"29","Host","Plantago lanceolata-Holcus lanatus",-0.170967741935484,-0.953656350593216,0.611720866722248,0.998906635348024
"30","Host","Trifolium repens-Holcus lanatus",1.05185185185185,0.25048069473311,1.85322300897059,0.00186030308393281
"31","Host","Pinus sylvestris-Marchantia polymorpha",0.230769230769226,-1.07876286730306,1.54030132884151,0.999775246491715
"32","Host","Plantago lanceolata-Marchantia polymorpha",0.629032258064513,-0.570251563342158,1.82831607947118,0.77689132203895
"33","Host","Trifolium repens-Marchantia polymorpha",1.85185185185185,0.640292543511129,3.06341116019257,0.000116273947355583
"34","Host","Plantago lanceolata-Pinus sylvestris",0.398263027295287,-0.423999291964052,1.22052534655463,0.844023591123734
"35","Host","Trifolium repens-Pinus sylvestris",1.62108262108262,0.781017388488747,2.4611478536765,2.92243658717162e-07
"36","Host","Trifolium repens-Plantago lanceolata",1.22281959378734,0.567749396465555,1.87788979110912,7.96165985805786e-07
