"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","Host","Arabidopsis thaliana-No host",0.102981354821316,-0.0496826863196759,0.255645395962308,0.40994993212806
"2","Host","Equisetum arvense-No host",0.0416591510037875,-0.115317174504767,0.198635476512342,0.985445198316449
"3","Host","Festuca rubra-No host",0.0734618428357768,-0.0778418597584968,0.22476554543005,0.773860972929315
"4","Host","Holcus lanatus-No host",0.0773275744278071,-0.0894971102295087,0.244152259085123,0.809728961122776
"5","Host","Plantago lanceolata-No host",0.016775876416422,-0.134527826177852,0.168079579010696,0.999891738671301
"6","Host","Trifolium repens-No host",0.180132417249158,0.025921303469657,0.334343531028659,0.0109906760080198
"7","Host","Equisetum arvense-Arabidopsis thaliana",-0.0613222038175285,-0.180291643230738,0.057647235595681,0.720946348708221
"8","Host","Festuca rubra-Arabidopsis thaliana",-0.0295195119855392,-0.140897118185628,0.0818580942145497,0.985543410212771
"9","Host","Holcus lanatus-Arabidopsis thaliana",-0.0256537803935089,-0.157345223377245,0.106037662590227,0.997258518921291
"10","Host","Plantago lanceolata-Arabidopsis thaliana",-0.086205478404894,-0.197583084604983,0.0251721277951949,0.245224662812477
"11","Host","Trifolium repens-Arabidopsis thaliana",0.0771510624278419,-0.0381452009861989,0.192447325841883,0.420093062718844
"12","Host","Festuca rubra-Equisetum arvense",0.0318026918319893,-0.0854160288380951,0.149021412502074,0.983678857613084
"13","Host","Holcus lanatus-Equisetum arvense",0.0356684234240197,-0.100998666498199,0.172335513346238,0.986659991265437
"14","Host","Plantago lanceolata-Equisetum arvense",-0.0248832745873655,-0.14210199525745,0.0923354460827189,0.99559389489215
"15","Host","Trifolium repens-Equisetum arvense",0.13847326624537,0.0175249894080832,0.259421543082658,0.0137522000824941
"16","Host","Holcus lanatus-Festuca rubra",0.00386573159203035,-0.126246285978894,0.133977749162955,0.999999957120428
"17","Host","Plantago lanceolata-Festuca rubra",-0.0566859664193548,-0.166191546752505,0.0528196139137954,0.71687827074388
"18","Host","Trifolium repens-Festuca rubra",0.106670574413381,-0.00681832071948114,0.220159469546243,0.0804838912885146
"19","Host","Plantago lanceolata-Holcus lanatus",-0.0605516980113852,-0.190663715582309,0.0695603195595391,0.8068154833982
"20","Host","Trifolium repens-Holcus lanatus",0.102804842821351,-0.0306769698377313,0.236286655480433,0.250660244974347
"21","Host","Trifolium repens-Plantago lanceolata",0.163356540832736,0.0498676456998737,0.276845435965598,0.00058092658714104
