"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.36336693620802,0.114378156496459,20.6627472290235,1.63505273333067e-47
"2","HostArabidopsis thaliana",0.489823160831664,0.134330332331075,3.64640771992158,0.000356753177333858
"3","HostEquisetum arvense",0.304224751137599,0.137253787795751,2.2165126079458,0.0280323312426627
"4","HostFestuca rubra",0.529022567315111,0.133133359372036,3.97362892223561,0.000105838254453482
"5","HostHolcus lanatus",0.331829354101367,0.146790397814426,2.26056580704188,0.0251013637046234
"6","HostPlantago lanceolata",0.245545060549956,0.133133359372037,1.84435412512793,0.0669356041728133
"7","HostTrifolium repens",1.2411800611156,0.135691614137309,9.14706534377012,2.20938585229056e-16
