"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.36336693620802,0.115206695060218,20.5141457705448,1.55525167130412e-49
"2","HostArabidopsis thaliana",0.489823160831668,0.13530340152565,3.6201836414202,0.000379939683487358
"3","HostEquisetum arvense",0.304224751137597,0.138248034072262,2.20057198772591,0.0290044497559953
"4","HostFestuca rubra",0.529022567315108,0.134097757870327,3.94505154833888,0.000113166895372746
"5","HostHolcus lanatus",0.331829354101366,0.147853725893005,2.24430836691592,0.0259974613828205
"6","HostMarchantia polymorpha",-0.181375862983491,0.171740001078492,-1.05610726589314,0.292296406916433
"7","HostPinus sylvestris",0.0670950655957006,0.1539514219921,0.435819719801898,0.663475635635875
"8","HostPlantago lanceolata",0.245545060549956,0.134097757870328,1.83108997830819,0.0686956892755168
"9","HostTrifolium repens",1.2411800611156,0.136674544257318,9.08128187191044,1.61689510479757e-16
