"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.353463203454546,0.0435397827585043,8.11816644596156,1.09826367327909e-13
"2","HostArabidopsis thaliana",0.102981354821316,0.0511348815781428,2.01391597365769,0.0456632378638036
"3","HostEquisetum arvense",0.0416591510037877,0.052579282950061,0.792311128384063,0.429330891255709
"4","HostFestuca rubra",0.0734618428357766,0.0506792356383869,1.44954520150918,0.149106662003586
"5","HostHolcus lanatus",0.0773275744278069,0.055877994781918,1.38386452000654,0.168291964305559
"6","HostPlantago lanceolata",0.0167758764164219,0.050679235638387,0.33102070710228,0.741053997076109
"7","HostTrifolium repens",0.180132417249158,0.051653074176555,3.48735133621377,0.000627157748116184
