"","Height","No_branches","Nodes_to_flower_inc_coty","No_teeth_lower_floral_leaf","Standard_corolla_l","Cauline_ratio","Julian_days_to_flower"
"Height",1,0.834052942240434,-0.185718787699418,0.692348979383261,0.502534891116768,0.477300195618064,-0.480777074921951
"No_branches",0.834052942240434,1,-0.248175004486503,0.694254660054966,0.523966433581835,0.298746040051415,-0.571843607905473
"Nodes_to_flower_inc_coty",-0.185718787699418,-0.248175004486503,1,-0.239463037163616,-0.166373820230404,-0.0093650777250169,0.529703590176852
"No_teeth_lower_floral_leaf",0.692348979383261,0.694254660054966,-0.239463037163616,1,0.535840381239843,0.168137595353809,-0.691470509734711
"Standard_corolla_l",0.502534891116768,0.523966433581835,-0.166373820230404,0.535840381239843,1,0.0980758382830647,-0.405831551698783
"Cauline_ratio",0.477300195618064,0.298746040051415,-0.0093650777250169,0.168137595353809,0.0980758382830647,1,-0.0339487795327097
"Julian_days_to_flower",-0.480777074921951,-0.571843607905473,0.529703590176852,-0.691470509734711,-0.405831551698783,-0.0339487795327097,1
