"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.646627164937639,0.218217342773537,2.96322536384608,0.00304433590292346
"2","HostArabidopsis thaliana",0.507865582124929,0.24184369568076,2.09997445124774,0.0357310886379189
"3","HostEquisetum arvense",0.21203445409988,0.254102262999157,0.834445359113482,0.40403006593083
"4","HostFestuca rubra",0.396722445055698,0.242862999648169,1.63352361467338,0.102358918288523
"5","HostHolcus lanatus",0.257829109289658,0.267260770770921,0.964709891937908,0.334690139250665
"6","HostMarchantia polymorpha",-0.1358015401177,0.338056821570232,-0.401712172193179,0.687895865347527
"7","HostPinus sylvestris",0.0101523714515696,0.290956742586093,0.0348930612892243,0.972165013534777
"8","HostPlantago lanceolata",0.419195300907478,0.242342566581535,1.72976339576086,0.083672556834493
"9","HostTrifolium repens",0.711496319215554,0.239045221838101,2.97640887253304,0.00291645742725252
