"","Height","No_branches","Nodes_to_flower_inc_coty","No_teeth_lower_floral_leaf","Standard_corolla_l","Cauline_ratio","Julian_days_to_flower"
"Height","","<.0001","0.0571","<.0001","<.0001","<.0001","<.0001"
"No_branches","<.0001","","0.0039","<.0001","<.0001","0.0002","<.0001"
"Nodes_to_flower_inc_coty","0.0571","0.0039","","0.0054","0.0960","1.0000","<.0001"
"No_teeth_lower_floral_leaf","<.0001","<.0001","0.0054","","<.0001","0.0955","<.0001"
"Standard_corolla_l","<.0001","<.0001","0.0960","<.0001","","0.5560","<.0001"
"Cauline_ratio","<.0001","0.0002","1.0000","0.0955","0.5560","","1.0000"
"Julian_days_to_flower","<.0001","<.0001","<.0001","<.0001","<.0001","1.0000",""
