"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp1.1",3,126.12510822146,135.274676243209,-60.06255411073,120.12510822146,NA,NA,NA
"modmanysp1",7,122.453759105525,143.802751156272,-54.2268795527627,108.453759105525,11.6713491159347,4,0.0199700944707492
