"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp1.2",6,177.583890215201,195.883026258698,-82.7919451076004,165.583890215201,NA,NA,NA
"modmanysp1",7,122.453759105525,143.802751156272,-54.2268795527627,108.453759105525,57.1301311096754,1,4.07908069988033e-14
