"","Height","No_branches","Nodes_to_flower_inc_coty","No_teeth_lower_floral_leaf","Standard_corolla_l","Cauline_ratio","Julian_days_to_flower"
"Height",1,0.608579357498189,0.628323985297281,0.563029955971586,0.318997075807946,0.245888059716701,0.292157603360528
"No_branches",0.608579357498189,1,0.775299517946645,0.658345563817623,0.260488896306216,-0.116295207874335,0.0565302272516027
"Nodes_to_flower_inc_coty",0.628323985297281,0.775299517946645,1,0.651275633494337,0.0488473650157404,0.0755731572892728,0.249979027009848
"No_teeth_lower_floral_leaf",0.563029955971586,0.658345563817623,0.651275633494337,1,0.197387029460002,-0.119918645012217,0.0528381739206969
"Standard_corolla_l",0.318997075807946,0.260488896306216,0.0488473650157404,0.197387029460002,1,-0.160576624180822,-0.126574244400855
"Cauline_ratio",0.245888059716701,-0.116295207874335,0.0755731572892728,-0.119918645012217,-0.160576624180822,1,0.203937095358952
"Julian_days_to_flower",0.292157603360528,0.0565302272516027,0.249979027009848,0.0528381739206969,-0.126574244400855,0.203937095358952,1
