"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp4.2",6,129.438917098796,147.738053142293,-58.7194585493979,117.438917098796,NA,NA,NA
"modmanysp4",7,97.0549809998094,118.403973050556,-41.5274904999047,83.0549809998094,34.3839360989863,1,4.52442169655446e-09
