"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp5.2",4,120.03474702742,122.866947831829,-56.0173735137101,112.03474702742,NA,NA,NA
"modmanysp5",5,122.03474702742,125.574998032931,-56.0173735137101,112.03474702742,1.4210854715202e-14,1,0.999999904884748
