"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp5.1",2,118.290670087807,119.706770490011,-57.1453350439035,114.290670087807,NA,NA,NA
"modmanysp5",5,122.03474702742,125.574998032931,-56.0173735137101,112.03474702742,2.25592306038668,3,0.521017425497991
