"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp7.1",3,590.349339650406,599.498907672155,-292.174669825203,584.349339650406,NA,NA,NA
"modmanysp7",6,583.896136883597,602.195272927094,-285.948068441798,571.896136883597,12.4532027668096,3,0.00598146592040015
