"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp7.2",5,581.95517563013,597.204455666378,-285.977587815065,571.95517563013,NA,NA,NA
"modmanysp7",6,583.896136883597,602.195272927094,-285.948068441798,571.896136883597,0.0590387465334743,1,0.808021741970529
