"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp3.1",3,454.209314215102,463.33958956586,-224.104657107551,448.209314215102,NA,NA,NA
"modmanysp3",7,450.298661831767,471.602637650201,-218.149330915883,436.298661831767,11.910652383335,4,0.0180281930281541
