"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"modmanysp3.2",6,489.67920710149,507.939757803006,-238.839603550745,477.67920710149,NA,NA,NA
"modmanysp3",7,450.298661831767,471.602637650201,-218.149330915883,436.298661831767,41.3805452697236,1,1.25298194627246e-10
