"","PC1","PC2","PC3","PC4","PC5","PC6"
"Height","0.188","0.113","0.153","0.052","0.311","0.058"
"No_branches","0.257","0.018","0.097","0.210","0.016","0.290"
"Nodes_to_flower_inc_coty","0.232","0.107","0.104","0.177","0.145","0.286"
"No_teeth_lower_floral_leaf","0.194","0.028","0.069","0.313","0.157","0.044"
"Standard_corolla_l","0.099","0.203","0.365","0.078","0.116","0.038"
"Cauline_ratio","0.031","0.354","0.174","0.000","0.182","0.079"
"Standard deviation","1.780","1.111","0.932","0.612","0.433","0.405"
"Proportion of Variance","0.528","0.206","0.145","0.062","0.031","0.027"
"Cumulative Proportion","0.528","0.734","0.879","0.941","0.973","1.000"
